1;0.950000
2;0.949100
3;0.946574
4;0.942687
5;0.937700
6;0.931877
7;0.925481
8;0.918775
9;0.912021
10;0.905483
11;0.899423
12;0.894009
13;0.889122
14;0.884593
15;0.880250
16;0.875923
17;0.871442
18;0.866636
19;0.861335
20;0.855368
21;0.848565
22;0.840834
23;0.832263
24;0.822961
25;0.813038
26;0.802603
27;0.791767
28;0.780640
29;0.769331
30;0.757950
31;0.746608
32;0.735388
33;0.724336
34;0.713492
35;0.702894
36;0.692585
37;0.682603
38;0.672989
39;0.663782
40;0.655024
41;0.646750
42;0.638868
43;0.631121
44;0.623237
45;0.614946
46;0.605978
47;0.596063
48;0.584930
49;0.572310
50;0.557933
51;0.541541
52;0.523212
53;0.503354
54;0.482388
55;0.460738
56;0.438825
57;0.417073
58;0.395903
59;0.375738
60;0.357001
61;0.340091
62;0.325084
63;0.311804
64;0.300067
65;0.289692
66;0.280494
67;0.272293
68;0.264904
69;0.258145
70;0.251833
71;0.245790
72;0.239870
73;0.233948
74;0.227900
75;0.221602
76;0.214929
77;0.207756
78;0.199960
79;0.191416
80;0.181999
81;0.171617
82;0.160411
83;0.148630
84;0.136519
85;0.124327
86;0.112302
87;0.100691
88;0.089741
89;0.079700
90;0.070815
91;0.063290
92;0.057082
93;0.052068
94;0.048124
95;0.045126
96;0.042951
97;0.041474
98;0.040573
99;0.040123
100;0.040000
