0;0.99
1;0.990000
2;0.989684
3;0.988694
4;0.986968
5;0.984445
6;0.981062
7;0.976758
8;0.971470
9;0.965136
10;0.957695
11;0.949085
12;0.939325
13;0.928680
14;0.917461
15;0.905976
16;0.894535
17;0.883447
18;0.873023
19;0.863572
20;0.855404
21;0.848826
22;0.843920
23;0.840258
24;0.837345
25;0.834683
26;0.831777
27;0.828130
28;0.823246
29;0.816630
30;0.807784
31;0.796217
32;0.781762
33;0.764805
34;0.745783
35;0.725136
36;0.703302
37;0.680719
38;0.657826
39;0.635061
40;0.612864
41;0.591664
42;0.571573
43;0.552288
44;0.533479
45;0.514815
46;0.495966
47;0.476602
48;0.456392
49;0.435007
50;0.412114
51;0.387404
52;0.360997
53;0.333449
54;0.305334
55;0.277225
56;0.249695
57;0.223320
58;0.198672
59;0.176326
60;0.156855
61;0.140797
62;0.128156
63;0.118523
64;0.111480
65;0.106607
66;0.103485
67;0.101697
68;0.100822
69;0.100442
70;0.100139
71;0.099519
72;0.098469
73;0.097036
74;0.095270
75;0.093224
76;0.090946
77;0.088488
78;0.085901
79;0.083234
80;0.080538
81;0.077857
82;0.075184
83;0.072487
84;0.069737
85;0.066902
86;0.063952
87;0.060856
88;0.057583
89;0.054103
90;0.050386
91;0.046420
92;0.042303
93;0.038169
94;0.034152
95;0.030386
96;0.027004
97;0.024141
98;0.021930
99;0.020505
100;0.020000
